epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.0710543394088745
50,16,SGD,0,1,1.1613295078277588
50,16,SGD,0,2,1.038252830505371
50,16,SGD,0,3,1.223368763923645
50,16,SGD,0,4,1.140981912612915
50,16,SGD,0,5,1.073391079902649
50,16,SGD,0,6,1.2400823831558228
50,16,SGD,1,0,1.0085723400115967
50,16,SGD,1,1,1.0140794515609741
50,16,SGD,1,2,1.0204477310180664
50,16,SGD,1,3,1.0067932605743408
50,16,SGD,1,4,1.0062034130096436
50,16,SGD,1,5,1.02301824092865
50,16,SGD,1,6,1.0174273252487183
50,16,adam,0,0,1.0631632804870605
50,16,adam,0,1,1.1373908519744873
50,16,adam,0,2,1.207914113998413
50,16,adam,0,3,1.2303301095962524
50,16,adam,0,4,1.1407305002212524
50,16,adam,0,5,1.2054589986801147
50,16,adam,0,6,1.2194414138793945
50,16,adam,1,0,1.0240283012390137
50,16,adam,1,1,1.0282537937164307
50,16,adam,1,2,1.0011844635009766
50,16,adam,1,3,1.0999994277954102
50,16,adam,1,4,1.0396223068237305
50,16,adam,1,5,1.0074502229690552
50,16,adam,1,6,1.0519254207611084
50,48,SGD,0,0,0.9903931617736816
50,48,SGD,0,1,1.208836317062378
50,48,SGD,0,2,0.9904350638389587
50,48,SGD,0,3,1.2588168382644653
50,48,SGD,0,4,1.0933443307876587
50,48,SGD,0,5,1.446893572807312
50,48,SGD,0,6,1.0667837858200073
50,48,SGD,1,0,1.0219321250915527
50,48,SGD,1,1,0.9971269369125366
50,48,SGD,1,2,1.0244472026824951
50,48,SGD,1,3,1.043808937072754
50,48,SGD,1,4,1.107043743133545
50,48,SGD,1,5,1.0210130214691162
50,48,SGD,1,6,1.189548373222351
50,48,adam,0,0,1.0410114526748657
50,48,adam,0,1,1.1981970071792603
50,48,adam,0,2,1.0615636110305786
50,48,adam,0,3,1.172818899154663
50,48,adam,0,4,1.1465286016464233
50,48,adam,0,5,1.125631332397461
50,48,adam,0,6,1.1609832048416138
50,48,adam,1,0,1.0068873167037964
50,48,adam,1,1,1.0027326345443726
50,48,adam,1,2,0.9989478588104248
50,48,adam,1,3,1.0105007886886597
50,48,adam,1,4,1.0339202880859375
50,48,adam,1,5,1.016883134841919
50,48,adam,1,6,1.0510798692703247
80,16,SGD,0,0,1.061643123626709
80,16,SGD,0,1,1.1260349750518799
80,16,SGD,0,2,1.1040573120117188
80,16,SGD,0,3,1.2921805381774902
80,16,SGD,0,4,1.1765698194503784
80,16,SGD,0,5,1.1402755975723267
80,16,SGD,0,6,1.1929190158843994
80,16,SGD,1,0,1.0146267414093018
80,16,SGD,1,1,1.0056556463241577
80,16,SGD,1,2,0.9979429244995117
80,16,SGD,1,3,1.0588126182556152
80,16,SGD,1,4,1.0218027830123901
80,16,SGD,1,5,1.0229188203811646
80,16,SGD,1,6,1.0334112644195557
80,16,adam,0,0,1.114144206047058
80,16,adam,0,1,1.3236830234527588
80,16,adam,0,2,1.3441884517669678
80,16,adam,0,3,1.258359432220459
80,16,adam,0,4,1.1693204641342163
80,16,adam,0,5,1.3634268045425415
80,16,adam,0,6,1.1955196857452393
80,16,adam,1,0,1.020735740661621
80,16,adam,1,1,1.011210322380066
80,16,adam,1,2,0.9965773820877075
80,16,adam,1,3,1.069779872894287
80,16,adam,1,4,1.0274330377578735
80,16,adam,1,5,1.0277516841888428
80,16,adam,1,6,0.9955546855926514
80,48,SGD,0,0,1.0379623174667358
80,48,SGD,0,1,1.402381420135498
80,48,SGD,0,2,1.016994595527649
80,48,SGD,0,3,1.139595627784729
80,48,SGD,0,4,1.1102709770202637
80,48,SGD,0,5,1.0422849655151367
80,48,SGD,0,6,1.1031709909439087
80,48,SGD,1,0,1.013887643814087
80,48,SGD,1,1,1.014553427696228
80,48,SGD,1,2,1.0176093578338623
80,48,SGD,1,3,1.0592104196548462
80,48,SGD,1,4,1.0208684206008911
80,48,SGD,1,5,1.0062305927276611
80,48,SGD,1,6,1.0964213609695435
80,48,adam,0,0,1.044036626815796
80,48,adam,0,1,1.3001431226730347
80,48,adam,0,2,1.1522390842437744
80,48,adam,0,3,1.2318651676177979
80,48,adam,0,4,1.0830838680267334
80,48,adam,0,5,1.3933255672454834
80,48,adam,0,6,1.2371867895126343
80,48,adam,1,0,1.0175691843032837
80,48,adam,1,1,1.0024490356445312
80,48,adam,1,2,0.9906620979309082
80,48,adam,1,3,1.0453463792800903
80,48,adam,1,4,1.0361757278442383
80,48,adam,1,5,1.0118615627288818
80,48,adam,1,6,1.049603819847107
