epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.0492714643478394
50,16,SGD,0,1,1.0667604207992554
50,16,SGD,0,2,1.0311583280563354
50,16,SGD,0,3,1.2404029369354248
50,16,SGD,0,4,1.1040068864822388
50,16,SGD,0,5,1.0414483547210693
50,16,SGD,0,6,1.0936448574066162
50,16,SGD,1,0,1.0012234449386597
50,16,SGD,1,1,1.0353243350982666
50,16,SGD,1,2,1.0272334814071655
50,16,SGD,1,3,1.0540374517440796
50,16,SGD,1,4,1.047041893005371
50,16,SGD,1,5,1.0203335285186768
50,16,SGD,1,6,1.0254976749420166
50,16,adam,0,0,1.0695979595184326
50,16,adam,0,1,1.1774804592132568
50,16,adam,0,2,1.1222448348999023
50,16,adam,0,3,1.1608551740646362
50,16,adam,0,4,1.140781044960022
50,16,adam,0,5,1.4092077016830444
50,16,adam,0,6,1.1039340496063232
50,16,adam,1,0,1.0200986862182617
50,16,adam,1,1,1.028714895248413
50,16,adam,1,2,1.019792914390564
50,16,adam,1,3,1.0783957242965698
50,16,adam,1,4,1.0622830390930176
50,16,adam,1,5,1.0215753316879272
50,16,adam,1,6,1.0329248905181885
50,48,SGD,0,0,1.0980215072631836
50,48,SGD,0,1,1.0352823734283447
50,48,SGD,0,2,1.0278631448745728
50,48,SGD,0,3,1.0796918869018555
50,48,SGD,0,4,1.067026972770691
50,48,SGD,0,5,1.1083617210388184
50,48,SGD,0,6,1.1468381881713867
50,48,SGD,1,0,1.0367558002471924
50,48,SGD,1,1,1.021348476409912
50,48,SGD,1,2,1.0356924533843994
50,48,SGD,1,3,1.1510695219039917
50,48,SGD,1,4,1.0146187543869019
50,48,SGD,1,5,1.0180151462554932
50,48,SGD,1,6,1.0162172317504883
50,48,adam,0,0,1.07644522190094
50,48,adam,0,1,1.1472371816635132
50,48,adam,0,2,1.157324194908142
50,48,adam,0,3,1.08058762550354
50,48,adam,0,4,1.1183922290802002
50,48,adam,0,5,1.0885238647460938
50,48,adam,0,6,1.14774489402771
50,48,adam,1,0,1.021235466003418
50,48,adam,1,1,1.0156710147857666
50,48,adam,1,2,1.0180028676986694
50,48,adam,1,3,1.0307990312576294
50,48,adam,1,4,1.0518449544906616
50,48,adam,1,5,1.0291941165924072
50,48,adam,1,6,1.1045396327972412
80,16,SGD,0,0,1.0854958295822144
80,16,SGD,0,1,1.1062605381011963
80,16,SGD,0,2,1.0876893997192383
80,16,SGD,0,3,1.1695321798324585
80,16,SGD,0,4,1.1388689279556274
80,16,SGD,0,5,1.3297117948532104
80,16,SGD,0,6,1.1536060571670532
80,16,SGD,1,0,1.0156092643737793
80,16,SGD,1,1,1.0252856016159058
80,16,SGD,1,2,1.0140470266342163
80,16,SGD,1,3,1.0652016401290894
80,16,SGD,1,4,1.0285764932632446
80,16,SGD,1,5,1.0140295028686523
80,16,SGD,1,6,1.0309319496154785
80,16,adam,0,0,1.146945595741272
80,16,adam,0,1,1.1675046682357788
80,16,adam,0,2,1.2271149158477783
80,16,adam,0,3,1.1276609897613525
80,16,adam,0,4,1.1099295616149902
80,16,adam,0,5,1.2080559730529785
80,16,adam,0,6,1.1837130784988403
80,16,adam,1,0,1.0054916143417358
80,16,adam,1,1,1.0307317972183228
80,16,adam,1,2,1.0175111293792725
80,16,adam,1,3,1.1057956218719482
80,16,adam,1,4,1.0232880115509033
80,16,adam,1,5,1.010920524597168
80,16,adam,1,6,1.0281288623809814
80,48,SGD,0,0,1.0543969869613647
80,48,SGD,0,1,1.0467854738235474
80,48,SGD,0,2,1.0271774530410767
80,48,SGD,0,3,1.2055482864379883
80,48,SGD,0,4,1.0728708505630493
80,48,SGD,0,5,1.0522199869155884
80,48,SGD,0,6,1.0916990041732788
80,48,SGD,1,0,0.9977084398269653
80,48,SGD,1,1,1.020766019821167
80,48,SGD,1,2,1.0229779481887817
80,48,SGD,1,3,1.0395102500915527
80,48,SGD,1,4,1.0050973892211914
80,48,SGD,1,5,1.0158281326293945
80,48,SGD,1,6,1.0524259805679321
80,48,adam,0,0,1.0699498653411865
80,48,adam,0,1,1.187496304512024
80,48,adam,0,2,1.1195720434188843
80,48,adam,0,3,1.0948200225830078
80,48,adam,0,4,1.1470575332641602
80,48,adam,0,5,1.24947988986969
80,48,adam,0,6,1.1485624313354492
80,48,adam,1,0,1.0127196311950684
80,48,adam,1,1,1.0183485746383667
80,48,adam,1,2,1.003691554069519
80,48,adam,1,3,1.0336334705352783
80,48,adam,1,4,1.0283349752426147
80,48,adam,1,5,1.0268112421035767
80,48,adam,1,6,1.0733038187026978
